County,For Sale,Sold Last Year,Sold Last 6 Months,Sold Last 3 Months,Sold Last Month,STR Last Year,STR Last 6 Months,STR Last 3 Months,STR Last Month
Anderson,251,134,57,23,2,%53.39,%22.71,%9.16,%0.80
Andrews,91,21,12,5,1,%23.08,%13.19,%5.49,%1.10
Angelina,261,137,61,28,12,%52.49,%23.37,%10.73,%4.60
Aransas,462,293,115,61,24,%63.42,%24.89,%13.20,%5.19
Archer,22,31,22,10,3,%140.91,%100.00,%45.45,%13.64
Armstrong,7,13,12,8,2,%185.71,%171.43,%114.29,%28.57
Atascosa,193,134,62,30,10,%69.43,%32.12,%15.54,%5.18
Austin,200,131,62,32,9,%65.50,%31.00,%16.00,%4.50
Bailey,9,3,3,0,0,%33.33,%33.33,%0.00,%0.00
Bandera,350,215,87,37,18,%61.43,%24.86,%10.57,%5.14
Bastrop,512,359,179,93,30,%70.12,%34.96,%18.16,%5.86
Baylor,5,3,1,0,0,%60.00,%20.00,%0.00,%0.00
Bee,99,51,23,9,7,%51.52,%23.23,%9.09,%7.07
Bell,564,111,54,32,9,%19.68,%9.57,%5.67,%1.60
Bexar,794,635,324,175,55,%79.97,%40.81,%22.04,%6.93
Blanco,350,132,65,43,15,%37.71,%18.57,%12.29,%4.29
Borden,2,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Bosque,78,66,24,8,4,%84.62,%30.77,%10.26,%5.13
Bowie,214,110,110,27,10,%51.40,%51.40,%12.62,%4.67
Brazoria,930,658,305,164,46,%70.75,%32.80,%17.63,%4.95
Brazos,330,224,115,57,17,%67.88,%34.85,%17.27,%5.15
Brewster,322,89,39,25,6,%27.64,%12.11,%7.76,%1.86
Briscoe,1,1,1,0,0,%100.00,%100.00,%0.00,%0.00
Brooks,18,9,5,5,0,%50.00,%27.78,%27.78,%0.00
Brown,311,125,59,28,14,%40.19,%18.97,%9.00,%4.50
Burleson,195,210,82,43,21,%107.69,%42.05,%22.05,%10.77
Burnet,836,368,160,90,27,%44.02,%19.14,%10.77,%3.23
Caldwell,159,116,51,34,20,%72.96,%32.08,%21.38,%12.58
Calhoun,263,27,9,4,2,%10.27,%3.42,%1.52,%0.76
Callahan,77,42,21,10,3,%54.55,%27.27,%12.99,%3.90
Cameron,867,627,308,173,42,%72.32,%35.52,%19.95,%4.84
Camp,145,72,34,21,4,%49.66,%23.45,%14.48,%2.76
Carson,10,2,1,1,0,%20.00,%10.00,%10.00,%0.00
Cass,171,94,40,17,7,%54.97,%23.39,%9.94,%4.09
Castro,2,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Chambers,137,86,37,19,37,%62.77,%27.01,%13.87,%27.01
Cherokee,283,190,83,43,16,%67.14,%29.33,%15.19,%5.65
Childress,3,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Clay,42,38,16,12,4,%90.48,%38.10,%28.57,%9.52
Cochran,0,0,0,0,0,%NaN,%NaN,%NaN,%NaN
Coke,15,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Coleman,29,20,10,8,0,%68.97,%34.48,%27.59,%0.00
Collin,583,284,112,62,27,%48.71,%19.21,%10.63,%4.63
Collingsworth,3,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Colorado,166,102,58,30,10,%61.45,%34.94,%18.07,%6.02
Comal,1132,597,282,159,51,%52.74,%24.91,%14.05,%4.51
Comanche,100,45,16,11,5,%45.00,%16.00,%11.00,%5.00
Concho,11,4,3,3,1,%36.36,%27.27,%27.27,%9.09
Cooke,183,106,51,31,14,%57.92,%27.87,%16.94,%7.65
Coryell,204,43,15,8,1,%21.08,%7.35,%3.92,%0.49
Cottle,2,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Crane,6,3,1,0,0,%50.00,%16.67,%0.00,%0.00
Crockett,3,3,0,0,0,%100.00,%0.00,%0.00,%0.00
Crosby,10,6,3,1,1,%60.00,%30.00,%10.00,%10.00
Culberson,15,10,2,0,0,%66.67,%13.33,%0.00,%0.00
Dallam,10,13,3,0,0,%130.00,%30.00,%0.00,%0.00
Dallas,729,733,360,209,75,%100.55,%49.38,%28.67,%10.29
Dawson,9,2,2,2,0,%22.22,%22.22,%22.22,%0.00
Deaf Smith,11,4,2,2,1,%36.36,%18.18,%18.18,%9.09
Delta,43,45,17,8,1,%104.65,%39.53,%18.60,%2.33
Denton,413,292,131,67,23,%70.70,%31.72,%16.22,%5.57
DeWitt,49,12,4,2,1,%24.49,%8.16,%4.08,%2.04
Dickens,7,13,7,3,2,%185.71,%100.00,%42.86,%28.57
Dimmit,9,14,9,6,4,%155.56,%100.00,%66.67,%44.44
Donley,10,8,3,2,1,%80.00,%30.00,%20.00,%10.00
Duval,18,17,8,6,1,%94.44,%44.44,%33.33,%5.56
Eastland,60,45,14,9,3,%75.00,%23.33,%15.00,%5.00
Ector,233,173,81,31,6,%74.25,%34.76,%13.30,%2.58
Edwards,11,12,7,6,0,%109.09,%63.64,%54.55,%0.00
Ellis,474,308,142,80,37,%64.98,%29.96,%16.88,%7.81
El Paso,830,3,0,0,0,%0.36,%0.00,%0.00,%0.00
Erath,232,116,45,25,10,%50.00,%19.40,%10.78,%4.31
Falls,123,93,43,23,10,%75.61,%34.96,%18.70,%8.13
Fannin,260,178,88,41,12,%68.46,%33.85,%15.77,%4.62
Fayette,195,108,55,27,5,%55.38,%28.21,%13.85,%2.56
Fisher,8,2,1,0,0,%25.00,%12.50,%0.00,%0.00
Floyd,3,3,2,0,0,%100.00,%66.67,%0.00,%0.00
Foard,2,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Fort Bend,371,297,135,72,23,%80.05,%36.39,%19.41,%6.20
Franklin,105,86,31,21,6,%81.90,%29.52,%20.00,%5.71
Freestone,129,120,58,28,10,%93.02,%44.96,%21.71,%7.75
Frio,106,50,35,16,8,%47.17,%33.02,%15.09,%7.55
Gaines,46,14,6,2,0,%30.43,%13.04,%4.35,%0.00
Galveston,1133,740,309,150,69,%65.31,%27.27,%13.24,%6.09
Garza,35,11,3,1,0,%31.43,%8.57,%2.86,%0.00
Gillespie,320,104,47,25,6,%32.50,%14.69,%7.81,%1.88
Glasscock,2,1,0,0,0,%50.00,%0.00,%0.00,%0.00
Goliad,20,5,1,0,0,%25.00,%5.00,%0.00,%0.00
Gonzales,111,54,27,19,1,%48.65,%24.32,%17.12,%0.90
Gray,30,8,2,2,1,%26.67,%6.67,%6.67,%3.33
Grayson,710,511,238,142,51,%71.97,%33.52,%20.00,%7.18
Gregg,211,120,64,35,21,%56.87,%30.33,%16.59,%9.95
Grimes,316,266,96,47,19,%84.18,%30.38,%14.87,%6.01
Guadalupe,194,114,57,28,7,%58.76,%29.38,%14.43,%3.61
Hale,60,12,3,2,0,%20.00,%5.00,%3.33,%0.00
Hall,2,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Hamilton,78,22,11,3,1,%28.21,%14.10,%3.85,%1.28
Hansford,3,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Hardeman,0,3,3,3,0,%Infinity,%Infinity,%Infinity,%NaN
Hardin,201,139,44,26,8,%69.15,%21.89,%12.94,%3.98
Harris,2413,1974,906,494,170,%81.81,%37.55,%20.47,%7.05
Harrison,209,126,60,27,9,%60.29,%28.71,%12.92,%4.31
Hartley,4,2,1,0,0,%50.00,%25.00,%0.00,%0.00
Haskell,29,13,8,5,1,%44.83,%27.59,%17.24,%3.45
Hays,352,204,76,37,11,%57.95,%21.59,%10.51,%3.13
Hemphill,0,0,0,0,0,%NaN,%NaN,%NaN,%NaN
Henderson,806,556,255,122,47,%68.98,%31.64,%15.14,%5.83
Hidalgo,1805,1183,599,317,107,%65.54,%33.19,%17.56,%5.93
Hill,666,372,204,84,21,%55.86,%30.63,%12.61,%3.15
Hockley,156,39,13,6,3,%25.00,%8.33,%3.85,%1.92
Hood,370,353,197,110,35,%95.41,%53.24,%29.73,%9.46
Hopkins,176,115,60,30,11,%65.34,%34.09,%17.05,%6.25
Houston,176,101,47,19,11,%57.39,%26.70,%10.80,%6.25
